canonical_smiles,mol_id,MW,LogP,TPSA,HBD,HBA,RotatableBonds,scaffold,scaffold_specificity,scaffold_size
NC(=O)N1c2ccccc2C2OC2c2ccccc21,M00787,252.273,3.0294000000000016,58.86000000000001,1.0,2.0,0.0,c1ccc2c(c1)Nc1ccccc1C1OC21,1.0,1
C1=Cc2ccccc2Nc2ccccc21,M00788,193.249,3.9140000000000024,12.03,1.0,1.0,0.0,C1=Cc2ccccc2Nc2ccccc21,0.8795051323147839,4
CNCC(c1ccc(OC)cc1)C1(O)CCCCC1,M00789,263.381,2.6934000000000005,41.489999999999995,2.0,3.0,5.0,c1ccc(CC2CCCCC2)cc1,0.802209494641301,8
Cc1c(NC=O)c(=O)n(-c2ccccc2)n1C,M00790,231.25500000000002,1.05272,56.03,1.0,4.0,3.0,O=c1cc[nH]n1-c1ccccc1,0.7758207207981391,10
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,M00791,263.381,2.7326000000000006,43.7,2.0,3.0,4.0,c1ccc(CC2CCCCC2)cc1,0.802209494641301,8
COCCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1C,M00792,301.36400000000003,1.1706400000000001,83.91,1.0,4.0,6.0,c1ccccc1,0.21161295934610674,802
COCCN(C(=O)C(=O)O)c1c(C)cccc1C,M00793,251.28199999999998,1.36744,66.84,1.0,3.0,4.0,c1ccccc1,0.21161295934610674,802
CN(C)C(=N)N=C(N)N,M00794,129.167,-1.243829999999999,91.49,3.0,1.0,0.0,,0.0,0
CC1(C)CC1C(=O)NC(=CCCCCSCC(N)C(=O)O)C(=O)O,M00795,358.46000000000004,1.4326000000000003,129.72,4.0,5.0,11.0,C1CC1,0.9088491513636503,3
NCC1(CC(=O)O)CCCCC1,M00796,171.23999999999992,1.3702999999999994,63.32000000000001,2.0,2.0,3.0,C1CCCCC1,0.6846698721617894,21
CCC(C(N)=O)N1CCCC1=O,M00797,170.212,-0.12729999999999997,63.400000000000006,1.0,2.0,3.0,O=C1CCCN1,0.8176983027273006,7
O=c1[nH]cc(F)c(=O)[nH]1,M00798,130.078,-0.7977000000000001,65.72,2.0,2.0,0.0,O=c1cc[nH]c(=O)[nH]1,0.7883542836784342,9
COc1cccc(C2(O)CCCCC2CN(C)C)c1,M00799,263.3809999999999,2.6346000000000007,32.7,1.0,3.0,4.0,c1ccc(C2CCCCC2)cc1,0.7758207207981391,10
CCN(CC)CC(=O)Nc1c(C)cccc1C,M00800,234.343,2.5837400000000006,32.34,1.0,2.0,5.0,c1ccccc1,0.21161295934610674,802
O=P1(N(CCCl)CCCl)NCCCO1,M00801,261.089,1.884,41.57000000000001,1.0,2.0,5.0,O=[PH]1NCCCO1,0.9466801716388252,2
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,M00802,720.9620000000001,5.905200000000005,145.77999999999997,4.0,9.0,17.0,O=C(CNC(=O)NCc1cscn1)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,1.0,1
